IP, GET count, PUT count, POST count 
munsu.ulsan.ac.kr,14,0,0
193.207.64.66,13,0,0
204.92.49.10,5,0,0
203.7.133.176,11,0,0
ad08-021.compuserve.com,42,0,0
mac118.nmus.pwf.cam.ac.uk,3,0,0
foley.ripco.com,105,0,0
kims.internet.co.nz,11,0,0
131.175.14.104,1,0,0
dd03-017.compuserve.com,27,0,0
legolas.pr.mcs.net,2,0,0
pool014-11.innet.be,27,0,0
slip210.pur.das.gov.au,11,0,0
hppool18.rz.uni-leipzig.de,6,0,0
netops.microsoft.com,52,0,0
dffl5-45.gate.net,17,0,0
ad11-038.compuserve.com,53,0,0
sms12.sms.co.uk,20,0,0
taka10.taka.is.uec.ac.jp,19,0,0
enterprise.powerup.com.au,140,0,0
abadon.stm.it,344,0,0
drjo008a196.embratel.net.br,28,0,0
e2m61.mel.enternet.com.au,5,0,0
ad05-001.compuserve.com,27,0,0
port0104.dialnet.ohiou.edu,2,0,0
131.182.28.171,363,0,0
sipc03.si.univ-compiegne.fr,14,0,0
kawms.mtx.net.au,7,0,0
florence.oec.uni-osnabrueck.de,22,0,0
a110.ucs.usl.edu,22,0,0
dd15-040.compuserve.com,13,0,0
199.183.200.36,1,0,0
ppptky098.asahi-net.or.jp,5,0,0
hssmac05.utcc.utk.edu,47,0,0
ivyland42.voicenet.com,29,0,0
gate1.internet-eireann.ie,100,0,0
ppp3_070.bekkoame.or.jp,10,0,0
ad03-003.compuserve.com,10,0,0
dd07-025.compuserve.com,8,0,0
128.159.154.142,156,0,0
cafeliv7.u-net.com,15,0,0
garfield.msm.cam.ac.uk,9,0,0
e1m56.mel.enternet.com.au,6,0,0
dial01.early.com,38,0,0
ix-phi1-23.ix.netcom.com,17,0,0
rts2p12.its.rpi.edu,4,0,0
mark.unice.fr,39,0,0
pc03.t10-laba.mun.ca,18,0,0
diamond.cary.mci.net,4,0,0
pppd010.compuserve.com,17,0,0
carlton.innotts.co.uk,23,0,0
kenwong.magna.com.au,4,0,0
swentzel.interlog.com,3,0,0
asd04-06.dial.xs4all.nl,12,0,0
slip137-6.pt.uk.ibm.net,17,0,0
204.19.245.117,78,0,0
204.188.44.129,7,0,0
ip153.b2.wsnet.com,17,0,0
dip010.pixi.com,5,0,0
slip7-23.fl.us.ibm.net,22,0,0
ix-tam1-19.ix.netcom.com,17,0,0
frank.mv.com,184,0,0
net-24.pix.za,14,0,0
ad13-039.compuserve.com,25,0,0
ix-jac1-20.ix.netcom.com,19,0,0
sl02-002.sunbelt.net,17,0,0
ad03-001.compuserve.com,52,0,0
skule.ecf.toronto.edu,1,0,0
line04.sburg.thepoint.net,4,0,0
dd04-023.compuserve.com,10,0,0
ppp39.cac.psu.edu,7,0,0
pu002-13.wake.tec.nc.us,12,0,0
crux.izmiran.rssi.ru,234,0,0
dialup07.leuven.eunet.be,49,0,0
pm1-10.america.net,7,0,0
p58.euronet.nl,21,0,0
port121.mhv.net,4,0,0
whitener.iquest.com,9,0,0
193.246.47.75,5,0,0
netblazer1-s15.telalink.net,3,0,0
arl23.jones.edu,1,0,0
dd07-032.compuserve.com,2,0,0
houston.clark.net,19,0,0
204.128.203.204,8,0,0
baste.magibox.net,171,0,0
cust31.max1.seattle.wa.ms.uu.net,11,0,0
204.191.6.121,12,0,0
ad06-028.compuserve.com,26,0,0
ip-20-157.medio.net,21,0,0
sl137.active.ch,14,0,0
eic68.fiu.edu,45,0,0
sl06.pc.chemie.th-darmstadt.de,29,0,0
wjvd.globalone.net,222,0,0
netblazer1-s22.telalink.net,4,0,0
ts4-11.slip.uwo.ca,1,0,0
isdn137-215.isdnlab.pacbell.com,8,0,0
ad13-001.compuserve.com,19,0,0
155.13.40.100,6,0,0
slip116-136.nc.us.ibm.net,18,0,0
ppp231.aix.or.jp,17,0,0
ez1d-3r.eznet.bull.it,15,0,0
194.86.213.81,13,0,0
slip-697.netaxs.com,61,0,0
192.127.29.43,73,0,0
ix-sj22-05.ix.netcom.com,1,0,0
199.78.224.15,40,0,0
exchange.datanet.net.au,46,0,0
cetq6.coe.uga.edu,90,0,0
nwchi-d119.net.interaccess.com,18,0,0
b029.ping.at,8,0,0
d_hill.amgen.com,76,0,0
ix-atl12-19.ix.netcom.com,1,0,0
194.20.59.131,5,0,0
guest1.the-wire.com,36,0,0
edm-p8.supernet.ab.ca,28,0,0
202.66.32.132,17,0,0
pool75.maple.net,1,0,0
dd12-048.compuserve.com,47,0,0
cnct.com,107,0,0
198.252.156.12,9,0,0
cursa.ethz.ch,25,0,0
slip-199-186-125-5.nmcnj.ico.att.net,14,0,0
comtrain.demon.co.uk,94,0,0
dd07-047.compuserve.com,18,0,0
ix-nyc6-23.ix.netcom.com,16,0,0
sm0019.extern.uni-essen.de,6,0,0
ip-pdx1-00.teleport.com,28,0,0
168.87.116.24,10,0,0
ra.ll.iac.es,16,0,0
